iter	RMSE
0	0.9310010154
1	0.920769146
2	0.9120831311
3	0.9041314317
4	0.8959032192
5	0.8882637192
6	0.8815912829
7	0.8752687831
8	0.8691922211
9	0.8641173317
10	0.8592300257
11	0.8548648315
12	0.8503589163
13	0.8465159909
14	0.84285763
15	0.8390588726
16	0.835680938
17	0.8327107701
18	0.8292807972
19	0.8265195523
20	0.8241161222
21	0.8214554538
22	0.8188615144
23	0.8169069587
24	0.8145699194
25	0.811984973
26	0.8101953291
27	0.8083627035
28	0.8067370945
29	0.8048699429
30	0.8031305123
31	0.8016520621
32	0.7998854085
33	0.7983880244
34	0.7971739227
35	0.7959290546
36	0.7945502855
37	0.7931453159
38	0.7919339872
39	0.7907595406
40	0.7896779159
41	0.7884958981
42	0.7875540656
43	0.7865879308
44	0.7857317698
45	0.7848387158
46	0.783963496
47	0.7826958704
48	0.7814750093
49	0.7807665171
50	0.7799434909
51	0.7790791924
52	0.7781203982
53	0.7772505964
54	0.7765361959
55	0.7758154732
56	0.7750241092
57	0.7742625019
58	0.7736380001
59	0.7731252526
60	0.7724015579
61	0.771639134
62	0.7710308728
63	0.770115361
64	0.7692605859
65	0.7687758719
66	0.7681785223
67	0.7672988081
68	0.7666736016
69	0.7661930716
70	0.7656452803
71	0.7649498298
72	0.764430105
73	0.7639101544
74	0.7633163748
75	0.7624734883
76	0.7618513293
77	0.7613904581
78	0.7608482366
79	0.7602200802
80	0.7599184013
81	0.7595083045
82	0.7587082979
83	0.7580077712
84	0.7573907117
85	0.7570271919
86	0.756486189
87	0.7559135357
88	0.7555184995
89	0.7551136866
90	0.7545974541
91	0.754102754
92	0.7537543619
93	0.7530799174
94	0.7527042826
95	0.7523222728
96	0.7517312484
97	0.7513954899
98	0.7509627935
99	0.750677732
100	0.7500911403
101	0.7496174806
102	0.7491991384
103	0.7487593036
104	0.7483348703
105	0.7479139392
106	0.7475255622
107	0.7472022034
108	0.7466890895
109	0.7463274667
110	0.7460677733
111	0.7458065492
112	0.7454306117
113	0.7450215409
114	0.7447492849
115	0.7443081764
116	0.7438045323
117	0.7434062143
118	0.7430519746
119	0.7427295608
120	0.7424490548
121	0.7421728288
122	0.7417383948
123	0.741365356
124	0.7411108199
125	0.7406425807
126	0.7403869167
127	0.7400878414
128	0.7397664679
129	0.7393821323
130	0.7391269572
131	0.7387754904
132	0.7385532513
133	0.7382985393
134	0.7379339737
135	0.737719578
136	0.7374108571
137	0.7370812282
138	0.7367096091
139	0.7364271637
140	0.7361452511
141	0.735824058
142	0.7356109281
143	0.7352930211
144	0.7350570414
145	0.7347470246
146	0.7345316987
147	0.7343691932
148	0.7340958246
149	0.7337948063
150	0.7335925575
151	0.7334617549
152	0.7328436605
153	0.7326764932
154	0.7324148708
155	0.7321982367
156	0.7318461112
157	0.7315804764
158	0.7313679793
159	0.7310545946
160	0.7306103862
161	0.7302993732
162	0.7298277658
163	0.7296134866
164	0.7293687071
165	0.7290313342
166	0.7288117738
167	0.7286770305
168	0.7284401142
169	0.7280893902
170	0.7278329618
171	0.7276581121
172	0.7274582516
173	0.7272349039
174	0.727083102
175	0.7268276622
176	0.7265408599
177	0.7262629087
178	0.726013435
179	0.7256653736
180	0.7254327911
181	0.7249605772
182	0.7248129698
183	0.7245552695
184	0.7243605972
185	0.7241386316
186	0.7239473321
187	0.723751934
188	0.7234520562
189	0.7231807275
190	0.7228840801
191	0.7227428721
192	0.722554334
193	0.7223965919
194	0.7222138004
195	0.7219772655
196	0.7217358271
197	0.7215845375
198	0.7213612214
199	0.7210914082
200	0.7208306614
201	0.720581227
202	0.7203911517
203	0.7201603012
204	0.7199032415
205	0.71947839
206	0.7191737655
207	0.7189528699
208	0.7185873231
209	0.7182219981
210	0.7181207844
211	0.7177702335
212	0.717470918
213	0.7171997548
214	0.7169252425
215	0.7166450154
216	0.7164337906
217	0.7162170495
218	0.7159952417
219	0.7157432581
220	0.7155207575
221	0.7153175741
222	0.7151909391
223	0.7148847609
224	0.7146611504
225	0.7144573352
226	0.7142820596
227	0.7140792075
228	0.7139090599
229	0.7136420398
230	0.7135259198
231	0.7132915468
232	0.7130851033
233	0.7128986914
234	0.7127445669
235	0.7125432187
236	0.7123841737
237	0.7121425913
238	0.7119067797
239	0.7116105102
240	0.7113508871
241	0.7111901108
242	0.7108378822
243	0.7104643114
244	0.7101804119
245	0.7099474562
246	0.7097341464
247	0.7095039347
248	0.7092581585
249	0.7090911694
250	0.7088812985
251	0.7086766478
252	0.7083956621
253	0.7080773051
254	0.7078704906
255	0.7077148111
256	0.7075400276
257	0.7073759461
258	0.7071260238
259	0.7069333668
260	0.7067019664
261	0.7064873311
262	0.7061940197
263	0.7059947225
264	0.7058118571
265	0.7055801119
266	0.7053902861
267	0.7051717433
268	0.7049939513
269	0.70482198
270	0.7046243967
271	0.7043953339
272	0.7041674679
273	0.704034435
274	0.7038552458
275	0.7036885242
276	0.7034904143
277	0.7033310809
278	0.703127338
279	0.7029077674
280	0.7025932943
281	0.7024715019
282	0.7022858418
283	0.7020029241
284	0.7017158797
285	0.7015660495
286	0.701438069
287	0.7011640015
288	0.7009822907
289	0.7007449069
290	0.7006005376
291	0.7004714744
292	0.7003119887
293	0.7000803758
294	0.6999198708
295	0.6997061558
296	0.6995259276
297	0.6993141404
298	0.6990548632
299	0.6988447498
300	0.6985756528
301	0.6983540452
302	0.6980317847
303	0.6978663073
304	0.6977344756
305	0.6976240836
306	0.6974917394
307	0.6972750393
308	0.6971106197
309	0.6969653109
310	0.6967373509
311	0.6965428721
